"Course","Prioritization","Requires Subscription","Title","Video URL","Creation Date","Modified Date","unique id"
"Product Management Fundamentals","3.4","no","Setting and tracking KPIs","c18d7fb028174fd69ba7f7766ba13c85","Aug 24, 2024 3:28 pm","Dec 20, 2024 1:30 pm","1724527731840x305927281397651700"
"Product Management Fundamentals","3.5","no","Understanding / analyzing competitors","46a12960f447425db994384cf96fd09a","Aug 24, 2024 3:29 pm","Dec 20, 2024 1:30 pm","1724527755165x641539802024684300"
"Product Management Fundamentals","4.1","no","Agile methodologies and principles","05e3ee0e647a41a592820a95eb40c390","Aug 24, 2024 3:31 pm","Dec 20, 2024 1:30 pm","1724527890253x402539424555274700"
"Product Management Fundamentals","4.2","no","Scrum framework","2613b3dfb97a491fb69a7e4596e582ef","Aug 24, 2024 3:31 pm","Dec 20, 2024 1:30 pm","1724527911249x518223304479904960"
"Product Management Fundamentals","4.3","no","Creating and managing the product backlog","611811b1b0b3435db2c68eb2e7b1f4d3","Aug 24, 2024 3:32 pm","Dec 20, 2024 1:30 pm","1724527941059x459739575426146000"
"Product Management Fundamentals","4.4","no","Sprint planning and review","1cb97c605b8843e59a9a780415b90045","Aug 24, 2024 3:32 pm","Dec 20, 2024 1:30 pm","1724527964991x904004364685617000"
"Product Management Fundamentals","4.5","no","An Agile Story","16e0d57a09704b6d91adf5837343dd71","Aug 24, 2024 3:33 pm","Dec 20, 2024 1:30 pm","1724527990556x133356725700513040"
"Product Management Fundamentals","5.1","no","Principles of UX design","966b67fbb9264825b87b5ed1d3a066c9","Aug 24, 2024 3:34 pm","Dec 20, 2024 1:30 pm","1724528049959x841508944760354000"
"Product Management Fundamentals","5.2","no","Wireframing and prototyping","75e3f47be36046b1985e594098572c9f","Aug 24, 2024 3:34 pm","Dec 20, 2024 1:30 pm","1724528070675x787514515049258000"
"Product Management Fundamentals","5.3","no","User testing and feedback","a524bf61599c496eb7be9504c21eab9d","Aug 24, 2024 3:34 pm","Dec 20, 2024 1:30 pm","1724528094264x140041742690362180"
"Product Management Fundamentals","5.4","no","Accessibility and inclusive design principles","cf2e04d343464975b06eb681738413e2","Aug 24, 2024 3:35 pm","Dec 20, 2024 1:30 pm","1724528116601x918127085845192800"
"Product Management Fundamentals","5.5","no","Best practices for PMs working w/ Designers","b7b3112fb44b4e40bddd28445144ece9","Aug 24, 2024 3:35 pm","Dec 20, 2024 1:30 pm","1724528143150x571926662520064300"
"Product Management Fundamentals","6.1","no","Software development life cycle (SDLC)","666e7558d556423caeb03330b587129c","Aug 24, 2024 3:37 pm","Dec 20, 2024 1:30 pm","1724528230576x838516626452335000"
"Product Management Fundamentals","6.2","no","Understanding APIs and integrations","77210326d0a143169e3590a081f5b7d4","Aug 24, 2024 3:37 pm","Dec 20, 2024 1:29 pm","1724528262567x707720490627180500"
"Product Management Fundamentals","6.3","no","Basic programming concepts","f0bc763b8fda4270bbe19bfc2481409c","Aug 24, 2024 3:38 pm","Dec 20, 2024 1:29 pm","1724528286112x839148769227087600"
"Product Management Fundamentals","6.4","no","Working with Engineers","9c60514905ba4be9acd74acc2c01b0c3","Aug 24, 2024 3:38 pm","Dec 20, 2024 1:29 pm","1724528315440x265974042737116000"
"Product Management Fundamentals","6.5","no","Tech debt and impact on product development","f1b641cea97d43c7908fe844f24c5792","Aug 24, 2024 3:38 pm","Dec 20, 2024 1:29 pm","1724528337171x776076844695868500"
"Product Management Fundamentals","7.1","no","Introduction to data analytics","40c7f0423d9d4bde9b927a547d049ef0","Aug 24, 2024 3:39 pm","Dec 20, 2024 1:29 pm","1724528361937x264229920689617020"
"Product Management Fundamentals","7.2","no","Metrics and analytics for product managers","72a880176242427182b0cec132e81884","Aug 24, 2024 3:39 pm","Dec 20, 2024 1:29 pm","1724528382851x588713595002008300"
"Product Management Fundamentals","7.3","no","A/B testing and experimentation","cfc0526440b1414eb7995976919cbe00","Aug 24, 2024 3:40 pm","Dec 20, 2024 1:29 pm","1724528410335x522143618610400700"
"Product Management Fundamentals","7.4","no","Analyzing and interpreting data","b62c9725cfe141eb896af2af850740aa","Aug 24, 2024 3:42 pm","Dec 20, 2024 1:29 pm","1724528557592x781053665339209100"
"Product Management Fundamentals","8.1","no","Defining the go-to-market strategy","cd7d12c502d14e05a4d7121a5c15018c","Aug 24, 2024 3:42 pm","Dec 20, 2024 1:29 pm","1724528575877x639383974664665900"
"Product Management Fundamentals","8.2","no","Coordinating product launches","af6b41328e6949d6830afb056c94a234","Aug 24, 2024 3:43 pm","Dec 20, 2024 1:29 pm","1724528602423x846299179543990000"
"Product Management Fundamentals","8.3","no","Marketing and sales alignment","4881564d4cd649d1b76625223a71a1e7","Aug 24, 2024 3:45 pm","Dec 20, 2024 1:29 pm","1724528740738x965786656053945000"
"Product Management Fundamentals","8.4","no","Post-launch monitoring and optimization","49529b5f6abf44e083dabce4bd411151","Aug 24, 2024 3:46 pm","Dec 20, 2024 1:29 pm","1724528774434x901177881888083300"
"Product Management Fundamentals","9.1","no","Introduction to the 0 to 1 concept","969038c60a594edf9ef4a42689487494","Aug 24, 2024 3:46 pm","Dec 20, 2024 1:29 pm","1724528797757x635218804725072300"
"Product Management Fundamentals","9.2","no","Identifying and validating new product ideas","e25df3bdff9742588a1d0dfa091683bd","Aug 24, 2024 3:47 pm","Dec 20, 2024 1:28 pm","1724528829556x553929586401849000"
"Product Management Fundamentals","9.3","no","Building a minimum viable product (MVP)","9951ee962c834a93859ed8e3fbaebbf2","Aug 24, 2024 3:48 pm","Dec 20, 2024 1:28 pm","1724528888549x738008569044423800"
"Product Management Fundamentals","9.4","no","Early-stage customer acquisition / growth","ec1dbbe4097542aaae0205c2d83afb37","Aug 24, 2024 3:48 pm","Dec 20, 2024 1:28 pm","1724528912013x275474680292892670"
"Product Management Fundamentals","9.5","no","Iterating product based on user feedback","9673d7741b64407dab52d9c54d83b626","Aug 24, 2024 3:48 pm","Dec 20, 2024 1:28 pm","1724528937448x906495676404485600"
"Product Management Fundamentals","10.1","no","Introduction to pricing strategies","650a587431d74e87b79f2cfcbaa4c013","Aug 24, 2024 3:49 pm","Dec 20, 2024 1:28 pm","1724528956729x494095582822984240"
"Product Management Fundamentals","10.2","no","Cost, value, and competitor based pricing","1558591d19ca443292b84c911dd39f9b","Aug 24, 2024 3:49 pm","Dec 20, 2024 1:28 pm","1724528976062x557072352902605600"
"Product Management Fundamentals","10.3","no","Pricing models and monetization strategies","6114c021bc334d85ae7920a27db96a23","Aug 24, 2024 3:50 pm","Dec 20, 2024 1:28 pm","1724529003303x889325219982206200"
"Product Management Fundamentals","10.4","no","Price segmentation and optimization","9a6a33042b334de984e6a74b444945b5","Aug 24, 2024 3:50 pm","Dec 20, 2024 1:28 pm","1724529026420x835487317263484000"
"Product Management Fundamentals","10.5","no","Pricing experiments and analysis","3be79680818447578f2cc8ef48c16de6","Aug 24, 2024 3:51 pm","Dec 20, 2024 1:28 pm","1724529090363x647046849102625800"
"Product Management Fundamentals","11.1","no","Stages of the product lifecycle","848cda8ccd144ff381685ac1c6eda1ff","Aug 24, 2024 3:52 pm","Dec 20, 2024 1:28 pm","1724529146059x326208884061682800"
"Product Management Fundamentals","11.2","no","Growth and scaling strategies","fc8a6465c7e24f04930598d81ba61fb7","Aug 24, 2024 3:53 pm","Dec 20, 2024 1:28 pm","1724529181103x724617356126061600"
"Product Management Fundamentals","11.3","no","Feature sunsetting and product retirement","eff303713bb54803a942d8ac29d43dbb","Aug 24, 2024 3:53 pm","Dec 20, 2024 1:28 pm","1724529207566x345760567642128300"
"Product Management Fundamentals","11.4","no","Continuous improvement and innovation","e3eadda1f822408a8916751dff1f6cea","Aug 24, 2024 3:54 pm","Dec 20, 2024 1:28 pm","1724529259610x517142495472420000"
"Product Management Fundamentals","12.1","no","Identifying and managing stakeholders","83a587c184fd425a8afc55048e6753e5","Aug 24, 2024 3:54 pm","Dec 20, 2024 1:28 pm","1724529284035x168227786500081420"
